model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,7,12549,0.6498222108827042,0.8083447587568295,0.5746491833448356,0.4601412714429869,0.583974785240073,0.2216112837676309,0.37775901430324765,0.24236212612147412,0.37775901430324765,0.2598785567784585,0.13308263622752878,0.10221522432844203
lgb,8,12549,0.6542541701429084,0.8106541898386828,0.587966140471288,0.4689425478767694,0.5906521799914173,0.2216112837676309,0.39898306490858804,0.24830698974970444,0.39898306490858804,0.26568597639141545,0.13203839312546747,0.10423794753688238
lgb,9,12549,0.6572544566765981,0.8104780544011035,0.6011376564277588,0.4748631159780986,0.5888369994456741,0.2216112837676309,0.40071387596764096,0.24742806472427015,0.40071387596764096,0.2648273719304506,0.13219278041715915,0.10392309280383628
lgb,10,12549,0.655080209518682,0.8101293076013741,0.5971934667586841,0.4706275033377837,0.5909310246492878,0.2216112837676309,0.4019012262377496,0.24759367369563512,0.4019012262377496,0.2649891520567128,0.13216369042674017,0.10408615890381268
lgb,11,12549,0.6538831172147707,0.811232860595698,0.5937066173068024,0.4682486631016043,0.58903802906561,0.2216112837676309,0.40017773157420555,0.24700876267012162,0.40017773157420555,0.2644177640529122,0.1322664327841614,0.10434076067241765
lgb,12,12549,0.6605574427418767,0.8135659547214293,0.619197836863452,0.48118323746918656,0.5903716796465955,0.2216112837676309,0.4174445303323011,0.2500229325711292,0.4174445303323011,0.26736224697036237,0.13173697974294757,0.10530730135798735
lgb,13,12549,0.6603228623192735,0.8151404354796652,0.6299529885829416,0.48084544253632766,0.5944268308666226,0.2216112837676309,0.43351338258593985,0.2536572376304047,0.43351338258593985,0.2709125276497172,0.13109859706064125,0.10676679810491077
lgb,14,12549,0.6621941756580376,0.8159030219737524,0.6348352387357095,0.48444956392957056,0.5927632391143023,0.2216112837676309,0.44374437493891206,0.2537781297701718,0.44374437493891206,0.27103062478826234,0.13107736179084536,0.10686423322083288
lgb,15,12549,0.6623606369716551,0.8166753704496377,0.6303275011215791,0.484669617970159,0.5960499546143233,0.2216112837676309,0.44258070069517164,0.2561555770383366,0.44258070069517164,0.2733531059682085,0.1306597520582173,0.10756522602755807
lgb,16,12549,0.6614288167611196,0.8192938463512485,0.6519043401240034,0.48290598290598286,0.5953298278092427,0.2216112837676309,0.4577385768492167,0.25776184633534616,0.4577385768492167,0.2749222386518998,0.13037760334323417,0.1088203547750661
lgb,17,12549,0.6657849839946451,0.8203654874270752,0.6615720524017467,0.4911310008136696,0.5998997372886308,0.2216112837676309,0.4573004329755529,0.26186077751403714,0.4573004329755529,0.27892640339106234,0.12965760690986836,0.10980751728216567
lgb,18,12549,0.6664289819338517,0.8223484875995888,0.6644635382242785,0.49235772357723573,0.6001453156243632,0.2216112837676309,0.46761652568940193,0.2630459322816163,0.46761652568940193,0.28008415762598626,0.12944942893164818,0.11076502484986572
lgb,19,12549,0.6670281138047153,0.8249111640132429,0.6579818944579378,0.4938514510575504,0.603866600245477,0.2216112837676309,0.4691682547670569,0.26777811835164755,0.4691682547670569,0.28470693653461554,0.1286181983147111,0.1122031316362206
lgb,20,12549,0.6665959118225956,0.8221457898095376,0.6657801418439717,0.49281984334203666,0.600361920869121,0.2216112837676309,0.4738326198901601,0.2637923776844989,0.4738326198901601,0.28081334536582214,0.12931831230530136,0.11056967480162522
lgb,21,12549,0.6701037237899574,0.8241761355937709,0.6700240858331509,0.49943209475904593,0.6009638029929164,0.2216112837676309,0.4762318799277693,0.2662322690991623,0.4762318799277693,0.2831968269965386,0.12888973396627237,0.11159959942810002
lgb,22,12549,0.6683919017098071,0.8238605209602635,0.6761115954664341,0.4964794498116915,0.5998133223666486,0.2216112837676309,0.4825713166240613,0.26509930179735486,0.4825713166240613,0.2820900536639914,0.12908874497203457,0.11138713275199921
lgb,23,12549,0.6721266211820792,0.824668305430075,0.6709082931110136,0.5032362459546925,0.6050934650452849,0.2216112837676309,0.48068301956180115,0.26759461326877776,0.48068301956180115,0.28452767405123836,0.12865043184082092,0.11222341389448151
lgb,24,12549,0.670225319035232,0.8242843862099277,0.6706322978629653,0.49991842062326647,0.60300297410437,0.2216112837676309,0.481774209188508,0.26635496395390557,0.481774209188508,0.2833166851716633,0.1288681820411591,0.11187988204188992
lgb,25,12549,0.6669827791612459,0.8254217156612724,0.6763031099430574,0.4938393297190734,0.6060553634201281,0.2216112837676309,0.4840288501688874,0.2695466127813647,0.4840288501688874,0.28643454373956023,0.12830755399639632,0.11279068291464371
lgb,26,12549,0.6684895410517496,0.8249888889123176,0.6787271142109852,0.4961215255332902,0.6020133685730713,0.2216112837676309,0.48710359420686433,0.26688353303507883,0.48710359420686433,0.2838330338452024,0.12877533640978803,0.11209638186786919
lgb,1,12749,0.5,0.521476262335533,0.0,0.0,0.4505628233760792,0.22189975684367402,0.0013195303000852476,0.0011270513918860692,0.0013195303000852476,0.02229279577405241,0.17545670542659028,0.0006857626220630615
lgb,2,12749,0.505711813645798,0.5907094379699077,0.04293015332197615,0.030969030969030975,0.3040967023817801,0.22189975684367402,0.04654951756594472,0.019643151990261454,0.04654951756594472,0.040416547122439805,0.17220426575158929,0.009161221018416639
lgb,3,12749,0.5160445980433709,0.6515571590977336,0.14170692431562,0.08238636363636363,0.3443140124485271,0.22189975684367402,0.14124046369215804,0.04766862019475915,0.14124046369215804,0.06784816613216904,0.16728146117864454,0.024083856139152593
lgb,4,12749,0.5179224128620123,0.6490782795358325,0.19316770186335405,0.0980211688909342,0.3446886547298711,0.22189975684367402,0.1510180004543561,0.046107396253149635,0.1510180004543561,0.06632002394226522,0.16755569746626212,0.023089875359231155
lgb,5,12749,0.641850810834113,0.8074155742813796,0.553811149032992,0.44410977242302546,0.5681697261079696,0.22189975684367402,0.35417239730674865,0.23445206613649305,0.35417239730674865,0.2506737406778141,0.13447207526141736,0.09996557991888852
lgb,6,12749,0.6484428428546627,0.8088851332592517,0.5701992753623188,0.4573435931749749,0.5803421262103103,0.22189975684367402,0.36974113093024596,0.24081478450751836,0.36974113093024596,0.2569016354250697,0.1333544340193625,0.1021209128055978
lgb,7,12749,0.6502162825639213,0.8089803516297082,0.5736434108527132,0.46094276094276093,0.5842770214014341,0.22189975684367402,0.3777310792046763,0.24362647786849234,0.3777310792046763,0.2596537500547924,0.13286054692944407,0.10266355947731891
lgb,8,12749,0.6517316545223709,0.8123433055491713,0.5892776010904134,0.4639973082099596,0.593303019565907,0.22189975684367402,0.3917459485737165,0.2501900706189222,0.3917459485737165,0.2660782627284438,0.1317076211631021,0.10535982536273054
lgb,9,12749,0.6552469051198626,0.8112339929855866,0.6002244668911336,0.47096128170894525,0.5894598002188561,0.22189975684367402,0.39791837575843325,0.24846224745971124,0.39791837575843325,0.26438705149608155,0.13201112138252175,0.10438667641022525
