model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12350,17,0.5829936163667668,0.7536784806951342,0.500523560209424,0.30450907671286354,0.48436716310226824,0.22186234817813766,0.3545966993212468,0.15401374623643904,0.3545966993212468,0.1750197646096524,0.14860144238401296,0.07008354681579622
lgb,12350,18,0.6581925440794478,0.8168151717909653,0.648950424296561,0.47623682076236823,0.5863954687777374,0.22186234817813766,0.45159791464661825,0.24995041735622514,0.45159791464661825,0.2685743078080428,0.13174971737961907,0.10657832470354209
lgb,12350,19,0.5671805530076783,0.7305062106899636,0.472348383649479,0.2664835164835165,0.44357583506532294,0.22186234817813766,0.33961906631831995,0.12173055636072261,0.33961906631831995,0.14353817319568218,0.15427213568304282,0.05721672790126006
lgb,12350,20,0.5755232402719703,0.7392334614652016,0.47155768208399784,0.2850937808489635,0.4572900154922633,0.22186234817813766,0.3298686302073015,0.13538722758747768,0.3298686302073015,0.15685574637512267,0.15187327750605498,0.06219751851842146
lgb,12350,21,0.5824102989064159,0.749771745341602,0.48091198303287386,0.3028169014084507,0.4787708566075352,0.22186234817813766,0.3475407822416344,0.14967527463216823,0.3475407822416344,0.17078901817683168,0.14936351521352834,0.06792274963306236
lgb,12350,22,0.5901519799993392,0.7604111047775373,0.5153374233128835,0.32592313489073094,0.4919983137474564,0.22186234817813766,0.3691773036124123,0.16186270858627916,0.3691773036124123,0.18267383555718208,0.14722273543550732,0.07353249695761967
lgb,12350,23,0.6747930479382812,0.8248407117906075,0.6833662931223906,0.5078450208133205,0.6045599937928388,0.22186234817813766,0.48127394575242755,0.26860291151042537,0.48127394575242755,0.28676365657049907,0.12847331953858726,0.11251060197888052
lgb,12350,24,0.6660202672799377,0.8212047054782758,0.6748220640569395,0.49181401440733463,0.6008729473789634,0.22186234817813766,0.4846571344249049,0.2641264158326737,0.4846571344249049,0.28239831323125897,0.12925963694218615,0.11041487906387311
lgb,12350,25,0.6709444061384279,0.8237740298015344,0.6841640935156594,0.5008067118425299,0.6021904500755839,0.22186234817813766,0.4892211865388353,0.26586449641727794,0.4892211865388353,0.28409323690576926,0.12895433495801936,0.11156121436761475
lgb,12350,26,0.6743766603666741,0.8235624486080467,0.6867708562623817,0.5073233542572025,0.6025852048252125,0.22186234817813766,0.4905073946135118,0.26662935735989146,0.4905073946135118,0.2848391061887169,0.12881998355598426,0.11159571389221581
lgb,12549,2,0.5121580602301781,0.6332087723979887,0.1036096256684492,0.06703375628441464,0.33118241825314526,0.2216112837676309,0.07971570110229709,0.03792645803422867,0.07971570110229709,0.060169398977100275,0.16899271752891423,0.018694658092236263
lgb,12549,3,0.5012493970023844,0.6438542233105661,0.02609308885754584,0.012629451881788331,0.3236199549453782,0.2216112837676309,0.08534846915494065,0.04105625213750219,0.08534846915494065,0.06322683288921804,0.16844295455576622,0.021019461292938475
lgb,12549,4,0.5394454155663937,0.6912797954232237,0.25309005297233667,0.17812031684864055,0.38889149569533943,0.2216112837676309,0.17268865470908312,0.08036808573329723,0.17268865470908312,0.10162978503792475,0.16153764711240423,0.038900742090041324
lgb,12549,5,0.5266186986309875,0.6483902257727722,0.26058041112454655,0.13708260105448156,0.3537324307656031,0.2216112837676309,0.18143987216536583,0.047869383361548334,0.18143987216536583,0.06988244593108572,0.16724619618937345,0.02300585688504136
lgb,12549,6,0.6490789335886131,0.805515882861529,0.5194197473093122,0.4585966079148653,0.5675387864554358,0.2216112837676309,0.32875303835588154,0.23182076418414277,0.32875303835588154,0.24958090894488527,0.13493427575667077,0.09925741271778699
lgb,12549,7,0.5185745522940384,0.64245528250902,0.21229404309252217,0.09585853885528152,0.3379828586551278,0.2216112837676309,0.18504206074215646,0.041051776399295026,0.18504206074215646,0.06322246062915093,0.16844374074011656,0.020949155144566665
lgb,12549,8,0.6454427906085363,0.8085052359756051,0.5772187281621244,0.4512976070104483,0.5766763553357734,0.2216112837676309,0.39539553156670315,0.2395905533819349,0.39539553156670315,0.2571710622263711,0.13356947594263702,0.10168582356459101
lgb,12549,9,0.5259223959933078,0.6733874494651488,0.2390168970814132,0.12996873604287631,0.36681355214701417,0.2216112837676309,0.18772443595251775,0.06332370808032584,0.18772443595251775,0.08497946986459337,0.16453157176839192,0.031446815851040345
lgb,12549,10,0.5681356262588564,0.7285620729669873,0.39623149394347246,0.26748320821809557,0.44022341643936824,0.2216112837676309,0.2786015016985611,0.11913034018492397,0.2786015016985611,0.13949586419840032,0.15472887581624825,0.056780657219053836
lgb,12549,11,0.6540344669805651,0.8066024695314881,0.5630405097860719,0.4685104965011662,0.5784559563333203,0.2216112837676309,0.3526037441654406,0.2390851720452294,0.3526037441654406,0.2566773652014521,0.13365824853823688,0.1009223441571593
lgb,12549,12,0.6566699677784315,0.8160653930169968,0.6051743532058492,0.47339209924910214,0.5844381409255222,0.2216112837676309,0.41486118639804026,0.24807680084312878,0.41486118639804026,0.26546110940466316,0.13207882688356434,0.10609920489674843
lgb,12549,13,0.5608098641624137,0.7211099810640982,0.39879319802523316,0.24519522557151527,0.4395647343349565,0.2216112837676309,0.28485773430844663,0.11635996888714761,0.28485773430844663,0.13678954331099102,0.15521550449249139,0.053680592212200416
lgb,12549,14,0.6613213959134158,0.8151961275858222,0.6253046753822291,0.4821256038647343,0.5849494138808601,0.2216112837676309,0.42240754012464443,0.24799747920042137,0.42240754012464443,0.2653836216618992,0.13209276010111504,0.10551317351852658
lgb,12549,15,0.6633222117027107,0.8183742774278693,0.6350689808633733,0.4862147259163153,0.5920147776006635,0.2216112837676309,0.43900323607507474,0.25536833657965197,0.43900323607507474,0.2725840663458077,0.13079803452692546,0.10801352605804124
lgb,12549,16,0.657466018346122,0.814937727927632,0.6211952899355698,0.47509452572743716,0.5897138082784706,0.2216112837676309,0.42214072685586035,0.2507100511795036,0.42214072685586035,0.26803347953888623,0.13161628414554383,0.10613629102957088
lgb,12549,17,0.6585954601161738,0.8177986719331387,0.6363840791544862,0.4774834437086093,0.5952842035078078,0.2216112837676309,0.44211288663736215,0.25674039350882427,0.44211288663736215,0.27392440160307585,0.13055702630982863,0.10817720443979006
lgb,12549,18,0.5504538267241983,0.7216253453691539,0.4333516182117389,0.21165129924559933,0.43628554307514866,0.2216112837676309,0.31060490509308136,0.11547254445101696,0.31060490509308136,0.13592263594394405,0.15537138474542594,0.05352936834329026
lgb,12549,19,0.5544998557960048,0.7202581017225056,0.41893751720341316,0.2224080267558529,0.43125173516401794,0.2216112837676309,0.30917403896090045,0.11353903161438872,0.30917403896090045,0.1340338255234632,0.15571101531875114,0.05263592748448146
lgb,12549,20,0.5882574136199327,0.7587042515461222,0.5171543895055499,0.32233883058470764,0.48614435848723075,0.2216112837676309,0.3686799912814145,0.15732243259387668,0.3686799912814145,0.17680496334448736,0.1480202561496927,0.07221280713906934
lgb,12549,21,0.669974689914553,0.8237687583313633,0.6800087013269523,0.4990297542043984,0.5984377770804189,0.2216112837676309,0.4824989119881724,0.26384394502429975,0.4824989119881724,0.2808637204794119,0.1293092542608707,0.11126625227336458
