,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
211,012179,010,8.0,0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0
212,012183,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,012195,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
214,012196,010,9.0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
215,012196,020,9.0,0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0
216,012218,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
217,012218,020,9.0,0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
218,012223,020,8.0,0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0
219,012232,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,012232,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,012235,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,012235,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,012242,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,012242,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,012243,020,8.0,0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0
226,012243,030,8.0,0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0
227,012252,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,012257,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,012257,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,012273,010,9.0,0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0
231,012273,040,8.0,0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0
232,012274,010,8.0,0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0
233,012274,020,8.0,0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
234,012276,020,8.0,0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
235,012276,030,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
236,012280,020,8.0,0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0
237,012280,030,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
238,012285,010,9.0,0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0
239,012292,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
