,HHID,PN,value
1055,15707,20,-1.0
1056,15708,10,-1.0
1057,15709,20,-1.0
1058,15709,30,-1.0
1059,15726,10,-1.0
1060,15726,40,-1.0
1061,15730,20,-1.0
1062,15730,30,-1.0
1063,15734,10,-1.0
1064,15734,40,-1.0
1065,15739,10,-1.0
1066,15739,40,-1.0
1067,15752,10,-1.0
1068,15752,20,-1.0
1069,15758,10,1.0
1070,15776,10,-1.0
1071,15776,20,-1.0
1072,15779,10,-1.0
1073,15779,40,-1.0
1074,15781,10,1.0
1075,15784,10,-1.0
1076,15793,10,-1.0
1077,15793,20,-1.0
1078,15801,10,-1.0
1079,15801,40,-1.0
1080,15833,10,-1.0
1081,15833,20,-1.0
1082,15834,10,-1.0
1083,15836,20,-1.0
1084,15840,20,-1.0
1085,15883,10,-1.0
1086,15883,20,-1.0
1087,15889,10,-1.0
1088,15889,20,-1.0
1089,15893,10,-1.0
1090,15893,20,-1.0
1091,15897,20,-1.0
1092,15897,30,-1.0
1093,15911,10,-1.0
1094,15911,20,-1.0
1095,15919,10,-1.0
1096,15932,10,-1.0
1097,15932,20,-1.0
1098,15935,10,-1.0
1099,15957,10,-1.0
1100,15960,10,1.0
1101,15964,10,-1.0
1102,15972,10,1.0
1103,15973,10,-1.0
1104,15973,20,-1.0
1105,15977,10,-1.0
1106,15977,20,-1.0
1107,15981,10,-1.0
1108,15981,40,-1.0
1109,15982,10,-1.0
1110,15982,20,-1.0
1111,15983,10,-1.0
1112,15983,20,-1.0
1113,15986,10,-1.0
1114,15986,40,-1.0
1115,15987,10,-1.0
1116,15987,20,-1.0
1117,15991,10,-1.0
1118,15991,40,-1.0
1119,15992,20,-1.0
1120,15992,30,-1.0
1121,15995,10,-1.0
1122,15995,20,-1.0
1123,16013,10,-1.0
1124,16015,10,-1.0
1125,16022,10,-1.0
1126,16022,40,-1.0
1127,16024,10,-1.0
1128,16024,20,-1.0
1129,16035,10,-1.0
1130,16035,40,-1.0
1131,16036,10,-1.0
1132,16036,40,-1.0
1133,16042,10,-1.0
1134,16042,20,-1.0
1135,16043,20,-1.0
1136,16043,30,-1.0
1137,16048,10,-1.0
1138,16048,20,-1.0
1139,16054,20,-1.0
1140,16054,30,-1.0
1141,16062,10,-1.0
1142,16062,40,-1.0
1143,16064,10,-1.0
1144,16064,40,-1.0
1145,16081,10,-1.0
1146,16081,40,-1.0
1147,16086,10,-1.0
1148,16086,20,-1.0
1149,16099,10,-1.0
1150,16107,10,-1.0
1151,16116,10,-1.0
