,HHID,PN,HB027,JB027,KB027,LB027
1019,16827,40,,,,
1020,16841,10,,,,
1021,16844,10,,,,
1022,16844,20,,,,
1023,16846,40,,,,
1024,16848,10,,,,
1025,16848,40,,,,
1026,16851,10,,,,
1027,16855,20,,,,
1028,16855,30,,,,
1029,16856,10,,,,
1030,16856,40,,,,
1031,16870,10,,,,
1032,16870,11,,,,
1033,16873,20,,,,
1034,16873,30,,,,
1035,16904,10,,,,
1036,16904,11,,,,
1037,16914,10,,,,
1038,16925,10,,,,
1039,16925,40,,,,
1040,16931,20,,,,
1041,16931,30,,,,
1042,16933,30,,,,
1043,16935,10,,,,
1044,16954,10,,,,
1045,16956,10,,,,
1046,16973,20,,,,
1047,16973,30,,,,
1048,16973,31,,,,
1049,16975,10,,,,
1050,16975,40,,,,
1051,16989,10,,,,
1052,16994,10,,,,
1053,16994,40,,,,
1054,16996,10,,,,
1055,16996,20,,,,
1056,17003,10,,,,
1057,17003,40,,,,
1058,17027,40,,,,
1059,17028,10,,,,
1060,17031,10,,,,
1061,17031,20,,,,
1062,17038,20,,,,
1063,17038,30,,,,
1064,17041,10,,,,
1065,17042,10,,,,
1066,17042,20,,,,
1067,17046,10,,,,
1068,17046,20,,,,
1069,17049,10,,,,
1070,17049,20,,,,
1071,17050,20,,,,
1072,17050,30,,,,
1073,17061,10,,,,
1074,17061,40,,,,
1075,17075,10,,,,
1076,17075,20,,,,
1077,17077,10,,,,
1078,17077,40,,,,
1079,17093,10,,,,
1080,17093,40,,,,
1081,17107,10,,,,
1082,17119,30,,,,
1083,17119,31,,,,
1084,17134,10,,,,
1085,17134,11,,,,
1086,17136,10,,,,
1087,17136,20,,,,
1088,17159,10,,,,
1089,17175,10,,,,
1090,17184,10,,,,
1091,17199,10,,,,
1092,17201,20,-0.719006929,,,
1093,17201,30,-0.719006929,,,
1094,17202,10,,,,
1095,17209,10,,,,
1096,17234,10,,,,
1097,17234,40,,,,
1098,17235,10,,,,
1099,17235,40,,,,
1100,17237,10,,,,
1101,17237,20,,,,
1102,17239,10,,,,
1103,17239,20,,,,
1104,17241,10,,,,
1105,17241,11,-0.719006929,,,
1106,17253,10,,,,
1107,17253,20,,,,
1108,17277,10,,,,
1109,17277,40,,,,
1110,17279,10,,,,
1111,17279,40,,,,
1112,17282,20,,,,
1113,17282,30,,,,
1114,17303,10,,,,
1115,17319,10,,,,
1116,17328,40,,,,
1117,17328,10,,,,
1118,17328,11,,,,
1119,17338,10,,,,
1120,17356,10,,,,
1121,17356,20,,,,
1122,17363,10,,,,
1123,17366,10,,,,
1124,17366,20,,,,
1125,17371,10,,,,
1126,17383,10,,,,
1127,17383,40,,,,
1128,17388,10,,,,
1129,17389,10,,,,
1130,17389,20,,,,
1131,17392,10,,,,
1132,17392,40,,,,
1133,17423,10,0.552762552,,,
1134,17425,10,,,,
1135,17425,40,,,,
1136,17428,10,,,,
1137,17458,10,,,,
1138,17459,10,,,,
1139,17468,10,,,,
1140,17473,10,,,,
1141,17480,10,,,,
1142,17491,10,,,,
1143,17491,20,,,,
1144,17492,10,,,,
1145,17492,40,,,,
1146,17521,10,,,,
1147,17521,20,,,,
1148,17526,10,,,,
1149,17527,10,,,,
1150,17527,20,,,,
1151,17547,10,,,,
1152,17547,20,,,,
1153,17588,10,,,,
1154,17588,40,,,,
1155,17602,10,,,,
1156,17613,10,,,,
1157,17623,10,,,,
1158,17623,20,,,,
1159,17626,10,,,,
1160,17626,11,,,,
1161,17635,10,,,,
1162,17635,20,,,,
1163,17640,10,,,,
1164,17641,10,,,,
1165,17641,12,,,,
1166,17642,10,,,,
1167,17646,40,,,,
1168,17653,10,,,,
1169,17653,40,,,,
1170,17661,20,,,,
1171,17661,30,,,,
1172,17674,30,,,,
1173,17681,20,,,,
1174,17707,40,,,,
1175,17707,41,,,,
1176,17714,10,,,,
1177,17714,20,,,,
1178,17715,10,,,,
1179,17715,20,,,,
1180,17750,10,,,,
1181,17750,20,,,,
1182,17755,10,,,,
1183,17773,10,,,,
1184,17773,40,,,,
1185,17790,10,,,,
1186,17790,40,,,,
1187,17807,10,,,,
1188,17833,10,,,,
1189,17833,20,,,,
1190,17841,10,,,,
1191,17862,10,,,,
1192,17862,40,,,,
1193,17897,10,,,,
1194,17897,20,-0.719006929,,,
1195,17909,10,,,,
1196,17909,20,,,,
1197,17922,10,,,,
1198,17923,10,,,,
1199,17924,10,,,,
1200,17924,40,,,,
1201,17933,10,,,,
1202,17933,20,,,,
1203,17938,10,0.552762552,,,
1204,17938,20,-0.719006929,,,
1205,17952,10,,,,
1206,17952,40,,,,
1207,17970,10,,,,
1208,17970,20,,,,
1209,17978,10,,,,
1210,17978,20,,,,
1211,17980,10,,,,
1212,17980,20,,,,
1213,17986,20,,,,
1214,17986,30,,,,
1215,18034,10,,,,
1216,18047,30,,,,
1217,18048,10,,,,
1218,18052,10,,,,
1219,18075,10,,,,
1220,18075,40,,,,
1221,18092,10,,,,
1222,18097,10,,,,
1223,18098,10,,,,
1224,18100,10,-0.719006929,,,
