,HHID,PN,F995_x,F995_y,G1082,HB022,JB022,KB022,LB022
614,014092,040,-1.0,-1.0,,,,,
615,014098,010,-1.0,-1.0,,,,,
616,014098,020,-1.0,-1.0,,,,,
617,014104,010,-1.0,-1.0,,,,,
618,014104,020,-1.0,-1.0,,,,,
619,014115,020,-1.0,-1.0,,,,,
620,014115,030,-1.0,-1.0,,,,,
621,014121,010,-1.0,-1.0,,,,,
622,014129,010,-1.0,-1.0,,,,,
623,014129,020,-1.0,-1.0,,,,,
624,014136,010,1.0,1.0,,,,,
625,014136,040,-1.0,-1.0,,,,,
626,014137,010,-1.0,-1.0,,,,,
627,014137,020,-1.0,-1.0,,,,,
628,014147,010,-1.0,-1.0,,,,,
629,014147,040,-1.0,-1.0,,,,,
630,014149,020,-1.0,-1.0,,,,,
631,014149,030,-1.0,-1.0,,,,,
632,014157,010,1.0,1.0,,,,,
633,014159,020,-1.0,-1.0,,,,,
634,014159,030,1.0,1.0,,,,,
635,014167,010,-1.0,-1.0,,,,,
636,014167,040,-1.0,-1.0,,,,,
637,014179,010,-1.0,-1.0,,,,,
